번호,질문,답변
40,"최종과제 제출 후 결과 발표 전에 중간 피드백이나 코드 리뷰 결과를 받아볼 수 있나요?",""
41,"스마트폰이나 태블릿에서 AI Talent Lab에 접속해서 강의를 들을 수 있나요?",""
42,"AI Bootcamp 수료 이력을 외부 이직이나 대학원 지원 시 증빙 자료로 활용할 수 있나요?",""
43,"Jupyter에서 실습 중 커널이 자꾸 죽습니다. 메모리 제한이 있나요?",""
44,"최종과제 RAG 구현 시 웹 크롤링으로 데이터를 수집해서 사용해도 되나요?",""
45,"AI Bootcamp 12기 수강 중인데 13기도 동시에 수강신청할 수 있나요?",""
46,"최종과제 제출 시 다른 수강생과의 코드 유사도 검사(표절 검사)가 진행되나요?",""
47,"웹 IDE 콘솔에서 git clone이나 git push 같은 git 명령어를 사용할 수 있나요?",""
48,"AI Literacy 인증을 취득하면 유효기간이 있나요? 매년 갱신해야 하나요?",""
49,"최종과제에서 사용할 PDF나 CSV 같은 데이터 파일을 웹 IDE에 업로드할 수 있나요? 용량 제한이 있나요?",""
50,"AI Bootcamp(LV2) 수료 후 AI Master Project(LV3) 모집 안내를 자동으로 받을 수 있나요?",""
51,"콘솔에서 Streamlit 앱 실행 시 포트 충돌이 발생합니다. 포트를 변경할 수 있나요?",""
52,"AI Bootcamp 강의 중 질문을 남길 수 있는 Q&A 게시판이 있나요?",""
53,"최종과제 기획 설계 문서에 이미지나 다이어그램을 첨부할 수 있나요?",""
54,"웹 IDE에서 여러 파일을 동시에 열어서 편집할 수 있나요? 멀티탭이 지원되나요?",""
55,"AI Bootcamp 수강 중 퇴사하면 수강 이력은 어떻게 되나요?",""
56,"최종과제에서 Streamlit 외에 Gradio나 Flask 같은 다른 웹 프레임워크를 사용해도 되나요?",""
57,"코드 리뷰 요청 시 특정 파일만 선택해서 리뷰받을 수 있나요?",""
58,"AI Literacy 사전연습 문제와 실제 인증시험 문제가 동일한가요?",""
59,"웹 IDE에서 터미널을 여러 개 동시에 열 수 있나요?",""
60,"AI Bootcamp 수강 신청 후 취소할 수 있나요? 취소 기한이 있나요?",""
61,"최종과제 제출 시 requirements.txt를 꼭 포함해야 하나요?",""
62,"플랫폼에서 제공하는 Azure OpenAI 모델은 어떤 버전인가요? GPT-4o만 사용 가능한가요?",""
63,"AI Bootcamp 수료 결과가 인사평가나 승진에 반영되나요?",""
64,"웹 IDE에서 코드 실행 중 무한루프에 빠졌을 때 강제 종료하는 방법이 있나요?",""
65,"AI Literacy 인증시험을 오프라인으로 응시하려면 별도 신청이 필요한가요? 어디서 신청하나요?",""
66,"최종과제에서 MCP(Model Context Protocol)를 활용하면 가산점이 있나요?",""
67,"다른 관계사 임직원도 AI Talent Lab에 가입하여 수강할 수 있나요?",""
68,"웹 IDE에서 Python 3.x 버전이 몇인가요? 버전을 변경할 수 있나요?",""
69,"AI Bootcamp 강의 영상에 자막이 제공되나요?",""
70,"최종과제 제출 후 마감일 전에 제출을 철회하고 다시 작업할 수 있나요?",""
71,"웹 IDE에서 pip install 한 패키지가 다음 날 접속하면 초기화되어 있습니다. 매번 다시 설치해야 하나요?",""
72,"AI Bootcamp 수강 중 장기 병가를 내야 하는데 별도 휴학 제도가 있나요?",""
73,"최종과제에서 OpenAI API 호출 비용이 많이 발생하면 제한이 걸리나요? 일일 사용량 한도가 있나요?",""
74,"웹 IDE에서 작업한 프로젝트를 zip 파일로 다운로드할 수 있나요?",""
75,"AI Literacy 인증시험 응시 중 네트워크가 끊기면 시험이 무효 처리되나요?",""
76,"최종과제 평가 결과에 이의신청을 할 수 있나요?",""
77,"AI Bootcamp 강의 내용을 사내 다른 부서 교육 자료로 활용해도 되나요?",""
78,"웹 IDE에서 Docker나 가상환경(venv)을 별도로 생성해서 사용할 수 있나요?",""
79,"AI Bootcamp 수강 완료 후 수료까지 얼마나 걸리나요? 수료 처리 절차가 어떻게 되나요?",""
80,"Jupyter 실습 환경에서 작성한 노트북을 웹 IDE로 옮길 수 있나요?",""
81,"AI Literacy 인증시험에서 오픈북(자료 참고)이 허용되나요?",""
82,"최종과제에서 Streamlit 멀티페이지 앱을 구현해도 되나요? 페이지 수 제한이 있나요?",""
83,"웹 IDE 콘솔에서 npm이나 Node.js를 사용할 수 있나요?",""
84,"AI Bootcamp 수강 신청 시 소속 부서장 승인이 필요한가요?",""
85,"최종과제에서 이미지 생성 AI(DALL-E 등)를 활용해도 되나요?",""
86,"플랫폼 비밀번호를 변경하려면 어디서 해야 하나요?",""
87,"AI Bootcamp 각 모듈별 예상 학습 소요 시간이 얼마나 되나요?",""
88,"웹 IDE에서 다크 모드를 지원하나요? 테마를 변경할 수 있나요?",""
89,"AI Literacy 인증 등급(A/B/C)에 따라 혜택이나 차이가 있나요?",""
90,"최종과제에서 외부 공개 데이터셋(Kaggle 등)을 RAG 소스로 활용해도 되나요?",""
91,"강의 듣다가 중간에 나갔는데 이어서 볼 수 있나요? 처음부터 다시 들어야 하나요?",""
92,"AI Bootcamp 수료하면 LinkedIn에 올릴 수 있는 배지 같은 게 있나요?",""
93,"과제 제출 버튼을 눌렀는데 아무 반응이 없습니다.",""
94,"강의 영상 다운로드가 가능한가요? 오프라인에서 보고 싶습니다.",""
95,"웹 IDE에서 코드 자동완성(IntelliSense) 기능이 지원되나요?",""
96,"AI Bootcamp 말고 데이터 분석이나 ML 관련 과정도 있나요?",""
97,"AX College 로그인이 안 됩니다. SSO 인증 오류가 납니다.",""
98,"최종과제 주제를 자유롭게 정해도 되나요? 아니면 정해진 주제가 있나요?",""
99,"강의 중 실습 코드를 복사했는데 들여쓰기가 깨져서 실행이 안 됩니다.",""
100,"AI Talent Lab 관련 문의를 전화로도 할 수 있나요?",""
101,"웹 IDE에서 파일명을 변경하거나 폴더를 새로 만들 수 있나요?",""
102,"AI Bootcamp 수강 중인데 회사에서 학습 시간을 별도로 보장해 주나요?",""
103,"최종과제에서 음성 인식(STT)이나 음성 합성(TTS) 기능을 넣어도 되나요?",""
104,"Jupyter에서 matplotlib 그래프가 안 보입니다. 어떻게 해야 하나요?",""
105,"AI Literacy 인증시험 일정을 놓쳤는데 추가 시험 일정이 있나요?",""
106,"웹 IDE에서 실행한 Streamlit 앱 화면이 너무 작게 나옵니다. 크기 조절이 가능한가요?",""
107,"AI Bootcamp에서 배운 내용으로 사내 업무 자동화 도구를 만들어 배포해도 되나요?",""
108,"과제 관련해서 운영진에게 1:1 질문할 수 있는 채널이 있나요?",""
109,"웹 IDE 접속 시 화면이 하얗게만 나오고 에디터가 안 뜹니다.",""
110,"AI Bootcamp 수강료가 있나요? 회사에서 전액 지원인가요?",""
111,"최종과제에서 한 번에 여러 문서를 RAG로 검색할 때 성능이 느린데 개선 방법이 있나요?",""
112,"AI Talent Lab 계정을 다른 동료에게 공유해서 같이 사용해도 되나요?",""
113,"강의 영상에서 사용된 실습 데이터셋은 어디서 받을 수 있나요?",""
114,"Streamlit 앱에서 파일 업로드 기능(st.file_uploader)이 동작하지 않습니다.",""
115,"AI Bootcamp 수료 후에도 플랫폼의 웹 IDE를 계속 사용할 수 있나요?",""
116,"최종과제에 발표나 데모 시연이 포함되나요? 아니면 코드 제출만 하면 되나요?",""
117,"웹 IDE에서 .py 파일 말고 .html이나 .css 파일도 만들 수 있나요?",""
118,"같은 회사 동료가 AI Bootcamp를 추천했는데 추천인 제도가 있나요?",""
119,"Jupyter 실습 중 출력 결과가 너무 길어서 스크롤이 안 됩니다. 출력 제한이 있나요?",""
120,"AI Talent Lab 운영 시간 외에 긴급 기술 지원을 받을 수 있는 방법이 있나요?",""
121,"웹 IDE에서 Streamlit 실행 버튼이 비활성화되어 있습니다. 어떻게 활성화하나요?",""
122,"AI Bootcamp 과정을 영어로도 수강할 수 있나요?",""
123,"최종과제에서 LangChain 대신 LlamaIndex를 사용해도 되나요?",""
124,"플랫폼에서 GPU 환경을 제공하나요? 모델 파인튜닝이 가능한가요?",""
125,"AI Literacy VOD 강의를 다 들었는데 수강 완료로 안 바뀝니다.",""
126,"최종과제에서 사용자 로그인 기능을 구현해야 하나요?",""
127,"웹 IDE에서 한글 파일명으로 .py 파일을 만들면 오류가 나나요?",""
128,"AI Bootcamp 13기는 언제 모집하나요? 일정이 공개되어 있나요?",""
129,"콘솔에서 pip install 시 Permission denied 오류가 발생합니다.",""
130,"최종과제 평가에 코드 품질(클린 코드)도 반영되나요?",""
131,"AI Talent Lab에서 제공하는 API 키를 로컬 PC에서도 사용할 수 있나요?",""
132,"강의 영상 화질을 변경할 수 있나요? 저화질로 보고 싶습니다.",""
133,"웹 IDE에서 작업 중 세션이 자꾸 만료됩니다. 세션 유지 시간이 얼마인가요?",""
134,"AI Bootcamp 수강 중에 다른 온라인 교육(사내 필수교육 등)과 일정이 겹치면 어떻게 하나요?",""
135,"최종과제에서 Streamlit의 st.session_state가 초기화되는 문제가 있습니다.",""
136,"AI Talent Lab 수강 이력이 사내 마일리지나 포인트로 인정되나요?",""
137,"웹 IDE에서 파이썬 디버거(breakpoint, pdb)를 사용할 수 있나요?",""
138,"최종과제를 제출했는데 제출 확인 메일이나 알림을 받을 수 있나요?",""
139,"AI Bootcamp 과정 내용이 매 기수마다 업데이트되나요? 12기와 13기 커리큘럼이 다른가요?",""
140,"플랫폼 접속 시 VPN을 켜야 하나요? 외부 네트워크에서도 접속 가능한가요?",""
141,"AI Bootcamp 수료 후 사내 AI 관련 프로젝트에 우선 배치되는 혜택이 있나요?",""
142,"육아휴직 중인데 AI Bootcamp 수강신청이 가능한가요?",""
143,"해외 법인 소속인데 AI Talent Lab 수강이 가능한가요?",""
144,"AI Bootcamp 수료자끼리 네트워킹할 수 있는 커뮤니티가 있나요?",""
145,"수강 중 부서 이동이 되었는데 수강에 영향이 있나요?",""
146,"AI Bootcamp 강의를 팀원들과 회의실에서 같이 시청해도 되나요?",""
147,"최종과제를 업무에 바로 적용할 수 있는 주제로 해도 되나요? 사내 데이터를 써도 괜찮은가요?",""
148,"AI Bootcamp 수료가 직무전환(AI 직무) 지원 시 가점이 되나요?",""
149,"계열사 합병으로 사번이 변경되었는데 수강 이력이 유지되나요?",""
150,"AI Talent Lab 교육 이수를 KPI 목표로 설정해도 인정되나요?",""
151,"임원도 AI Literacy 인증시험을 응시해야 하나요?",""
152,"계약직/인턴도 AI Bootcamp를 수강할 수 있나요?",""
153,"AI Bootcamp 수강 중 프로젝트 투입으로 야근이 잦은데 수강 기간 중 별도 배려가 가능한가요?",""
154,"최종과제에서 사내 기밀 데이터를 RAG 소스로 사용해도 보안상 문제없나요?",""
155,"AI Talent Lab 교육 시간이 법정의무교육 이수 시간으로 인정되나요?",""
156,"해외 출장 중인데 해외에서 플랫폼에 접속할 수 있나요?",""
157,"AI Bootcamp를 수료하면 사내 AI CoE(Center of Excellence) 멤버로 참여할 수 있나요?",""
158,"팀 단위로 AI Bootcamp를 단체 수강신청할 수 있나요? 팀빌딩 교육으로 활용하고 싶습니다.",""
159,"AI Literacy 인증 결과를 부서장이나 HR에서 조회할 수 있나요?",""
160,"AI Bootcamp 수강 이력이 사내 교육포탈(AX College) 외에 다른 시스템에도 연동되나요?",""
161,"AI Bootcamp 수료 후 강사나 멘토로 참여할 수 있는 기회가 있나요?",""
162,"최종과제를 영어로 작성해도 되나요?",""
163,"AI Talent Lab 교육 참여가 연봉 협상 시 참고 자료가 될 수 있나요?",""
164,"수강 중 개인 사유로 2주 정도 쉬었다가 다시 이어서 할 수 있나요?",""
165,"AI Bootcamp 수료자 대상 심화 세미나나 워크숍이 별도로 열리나요?",""
166,"최종과제에서 만든 결과물을 사내 해커톤에 출품해도 되나요?",""
167,"AI Literacy 인증을 받으면 명함이나 이메일 서명에 표기해도 되나요?",""
168,"퇴직 예정인데 AI Bootcamp 수강신청을 해도 되나요?",""
169,"AI Bootcamp 과정 피드백이나 개선 의견을 제출할 수 있는 곳이 있나요?",""
170,"최종과제에서 만든 서비스를 오픈소스로 공개해도 되나요?",""
171,"AI Talent Lab 관련 사내 공지를 이메일 외에 Teams나 카카오워크로도 받을 수 있나요?",""
172,"동일 과정을 여러 번 수료하면 수료 횟수가 누적되나요?",""
173,"AI Bootcamp 수강 중 다른 동료에게 수강 권한을 양도할 수 있나요?",""
174,"최종과제 결과물을 대외 컨퍼런스나 블로그에 발표해도 되나요?",""
175,"AI Talent Lab에서 제공하는 교육 외에 추천하는 외부 학습 자료가 있나요?",""
176,"수강 신청했는데 정원이 초과되면 대기 순번을 받을 수 있나요?",""
177,"AI Bootcamp 수료증을 영문으로도 발급받을 수 있나요?",""
178,"최종과제 주제가 다른 수강생과 겹쳐도 괜찮은가요?",""
179,"AI Talent Lab 운영팀에 직접 방문 상담이 가능한가요? 사무실 위치가 어디인가요?",""
180,"산업기능요원이나 전문연구요원도 AI Bootcamp를 수강할 수 있나요?",""
181,"AI Bootcamp 수강 사실을 사내 인트라넷 프로필에 자동으로 표시할 수 있나요?",""
182,"최종과제에서 Azure OpenAI 말고 Azure AI Search나 Azure Functions도 사용할 수 있나요?",""
183,"AI Literacy 인증시험을 대리 응시하면 어떤 제재가 있나요?",""
184,"AI Bootcamp 수강 중 육아휴직에 들어가면 수강 상태가 어떻게 되나요?",""
185,"최종과제 결과물에 회사 로고나 CI를 사용해도 되나요?",""
186,"AI Talent Lab 교육 이수가 승진 심사 필수 요건인가요?",""
187,"같은 기수 수강생끼리 스터디 그룹을 만들고 싶은데 지원해주는 게 있나요?",""
188,"AI Bootcamp 강의를 녹화하거나 캡처해서 사내 위키에 올려도 되나요?",""
189,"최종과제에서 프롬프트 엔지니어링만으로 구현하고 코딩을 최소화해도 되나요?",""
190,"AI Talent Lab에 장애인 접근성(웹 접근성) 기능이 지원되나요?",""
191,"수강 도중 회사 구조조정으로 소속이 변경되면 수강이 자동 취소되나요?",""
192,"AI Bootcamp를 이미 수료했는데 다음 기수에 청강 형태로 다시 참여할 수 있나요?",""
193,"최종과제 소스코드에 대한 저작권은 누구에게 있나요? 회사인가요 본인인가요?",""
194,"AI Literacy 인증시험 결과를 이의제기하면 재채점이 가능한가요?",""
195,"AI Bootcamp 수강 시간을 근무 시간으로 인정받을 수 있나요?",""
196,"최종과제에서 ChatGPT처럼 스트리밍 응답을 구현해야 하나요?",""
197,"AI Talent Lab 관련 예산이 부서별로 배정되나요? 수강에 부서 예산이 사용되나요?",""
198,"AI Bootcamp 수료 후 Alumni 행사나 정기 모임이 있나요?",""
199,"최종과제에서 Agent가 외부 API(날씨, 뉴스 등)를 호출하는 기능을 넣어도 되나요?",""
200,"AI Talent Lab 교육 콘텐츠가 매년 갱신되나요? 작년 내용과 올해 내용이 다른가요?",""
